  0%|                                                                                                                                                                                   | 0/110 [00:00<?, ?it/s]/opt/conda/envs/llm-project/lib/python3.11/site-packages/torch/_dynamo/eval_frame.py:1044: UserWarning: torch.utils.checkpoint: the use_reentrant parameter should be passed explicitly. Starting in PyTorch 2.9, calling checkpoint without use_reentrant will raise an exception. use_reentrant=False is recommended, but if you need to preserve the current default behavior, you can pass use_reentrant=True. Refer to docs for more details on the differences between the two variants.
  return fn(*args, **kwargs)
                                                                                                                                                                                                                
{'loss': 2.5744, 'grad_norm': 4.559511661529541, 'learning_rate': 0.0, 'epoch': 0.02}
{'loss': 2.6958, 'grad_norm': 4.623198509216309, 'learning_rate': 2.0000000000000003e-06, 'epoch': 0.04}
{'loss': 2.8798, 'grad_norm': 4.833338737487793, 'learning_rate': 4.000000000000001e-06, 'epoch': 0.05}
{'loss': 2.7671, 'grad_norm': 4.511486530303955, 'learning_rate': 6e-06, 'epoch': 0.07}
{'loss': 2.6459, 'grad_norm': 4.066618919372559, 'learning_rate': 8.000000000000001e-06, 'epoch': 0.09}
{'loss': 2.4845, 'grad_norm': 3.6464364528656006, 'learning_rate': 1e-05, 'epoch': 0.11}
{'loss': 2.6927, 'grad_norm': 3.6458027362823486, 'learning_rate': 1.2e-05, 'epoch': 0.13}
{'loss': 2.4949, 'grad_norm': 3.0504274368286133, 'learning_rate': 1.4000000000000001e-05, 'epoch': 0.15}
{'loss': 2.3641, 'grad_norm': 2.6262450218200684, 'learning_rate': 1.6000000000000003e-05, 'epoch': 0.16}
{'loss': 2.5387, 'grad_norm': 2.919323205947876, 'learning_rate': 1.8e-05, 'epoch': 0.18}
{'loss': 2.1841, 'grad_norm': 2.3637046813964844, 'learning_rate': 2e-05, 'epoch': 0.2}
{'loss': 1.8244, 'grad_norm': 2.050684928894043, 'learning_rate': 2.2000000000000003e-05, 'epoch': 0.22}
{'loss': 1.9167, 'grad_norm': 2.932919502258301, 'learning_rate': 2.4e-05, 'epoch': 0.24}
{'loss': 1.7401, 'grad_norm': 2.5933969020843506, 'learning_rate': 2.6000000000000002e-05, 'epoch': 0.25}
{'loss': 1.6756, 'grad_norm': 1.8602728843688965, 'learning_rate': 2.8000000000000003e-05, 'epoch': 0.27}
{'loss': 1.6858, 'grad_norm': 2.2204558849334717, 'learning_rate': 3e-05, 'epoch': 0.29}
{'loss': 1.3386, 'grad_norm': 1.6523913145065308, 'learning_rate': 3.2000000000000005e-05, 'epoch': 0.31}
{'loss': 1.3762, 'grad_norm': 1.7128076553344727, 'learning_rate': 3.4000000000000007e-05, 'epoch': 0.33}
{'loss': 1.3597, 'grad_norm': 1.9452989101409912, 'learning_rate': 3.6e-05, 'epoch': 0.35}
{'loss': 1.2488, 'grad_norm': 1.888383388519287, 'learning_rate': 3.8e-05, 'epoch': 0.36}
{'loss': 1.088, 'grad_norm': 1.326537013053894, 'learning_rate': 4e-05, 'epoch': 0.38}
{'loss': 1.1433, 'grad_norm': 1.1053457260131836, 'learning_rate': 4.2e-05, 'epoch': 0.4}
{'loss': 1.0135, 'grad_norm': 0.950516402721405, 'learning_rate': 4.4000000000000006e-05, 'epoch': 0.42}
{'loss': 1.0353, 'grad_norm': 0.8735600113868713, 'learning_rate': 4.600000000000001e-05, 'epoch': 0.44}
{'loss': 0.9598, 'grad_norm': 0.7448633909225464, 'learning_rate': 4.8e-05, 'epoch': 0.45}
{'loss': 0.9836, 'grad_norm': 0.7550820112228394, 'learning_rate': 5e-05, 'epoch': 0.47}
{'loss': 0.8886, 'grad_norm': 1.196847915649414, 'learning_rate': 5.2000000000000004e-05, 'epoch': 0.49}
{'loss': 0.8642, 'grad_norm': 0.8036547899246216, 'learning_rate': 5.4000000000000005e-05, 'epoch': 0.51}
{'loss': 0.9029, 'grad_norm': 0.7614181041717529, 'learning_rate': 5.6000000000000006e-05, 'epoch': 0.53}
{'loss': 0.87, 'grad_norm': 0.7777985334396362, 'learning_rate': 5.8e-05, 'epoch': 0.55}
{'loss': 0.8269, 'grad_norm': 0.8361814618110657, 'learning_rate': 6e-05, 'epoch': 0.56}
{'loss': 0.8816, 'grad_norm': 0.75921630859375, 'learning_rate': 6.2e-05, 'epoch': 0.58}
{'loss': 0.8775, 'grad_norm': 0.8106805682182312, 'learning_rate': 6.400000000000001e-05, 'epoch': 0.6}
{'loss': 0.7738, 'grad_norm': 0.7755780220031738, 'learning_rate': 6.6e-05, 'epoch': 0.62}
{'loss': 0.7893, 'grad_norm': 0.7480524778366089, 'learning_rate': 6.800000000000001e-05, 'epoch': 0.64}
{'loss': 0.8601, 'grad_norm': 0.7850232124328613, 'learning_rate': 7e-05, 'epoch': 0.65}
{'loss': 0.8471, 'grad_norm': 0.7885953187942505, 'learning_rate': 7.2e-05, 'epoch': 0.67}
{'loss': 0.7912, 'grad_norm': 0.9527221322059631, 'learning_rate': 7.4e-05, 'epoch': 0.69}
{'loss': 0.7703, 'grad_norm': 0.9634454846382141, 'learning_rate': 7.6e-05, 'epoch': 0.71}
{'loss': 0.7496, 'grad_norm': 1.015408992767334, 'learning_rate': 7.800000000000001e-05, 'epoch': 0.73}
{'loss': 0.7101, 'grad_norm': 1.108992576599121, 'learning_rate': 8e-05, 'epoch': 0.75}
{'loss': 0.8084, 'grad_norm': 0.9422414898872375, 'learning_rate': 8.2e-05, 'epoch': 0.76}
{'loss': 0.6865, 'grad_norm': 1.0816775560379028, 'learning_rate': 8.4e-05, 'epoch': 0.78}
{'loss': 0.7503, 'grad_norm': 1.2135430574417114, 'learning_rate': 8.6e-05, 'epoch': 0.8}
{'loss': 0.6645, 'grad_norm': 1.344556450843811, 'learning_rate': 8.800000000000001e-05, 'epoch': 0.82}
{'loss': 0.6882, 'grad_norm': 1.3967300653457642, 'learning_rate': 9e-05, 'epoch': 0.84}
{'loss': 0.6317, 'grad_norm': 1.7880516052246094, 'learning_rate': 9.200000000000001e-05, 'epoch': 0.85}
{'loss': 0.6563, 'grad_norm': 1.6768642663955688, 'learning_rate': 9.4e-05, 'epoch': 0.87}
{'loss': 0.6104, 'grad_norm': 1.3833190202713013, 'learning_rate': 9.6e-05, 'epoch': 0.89}
{'loss': 0.5774, 'grad_norm': 0.8834177255630493, 'learning_rate': 9.8e-05, 'epoch': 0.91}
{'loss': 0.5869, 'grad_norm': 0.658824622631073, 'learning_rate': 0.0001, 'epoch': 0.93}
{'loss': 0.6459, 'grad_norm': 0.6768547892570496, 'learning_rate': 0.00010200000000000001, 'epoch': 0.95}
{'loss': 0.7171, 'grad_norm': 0.8304563760757446, 'learning_rate': 0.00010400000000000001, 'epoch': 0.96}
{'loss': 0.6079, 'grad_norm': 0.6285703182220459, 'learning_rate': 0.00010600000000000002, 'epoch': 0.98}
{'loss': 0.555, 'grad_norm': 0.6229421496391296, 'learning_rate': 0.00010800000000000001, 'epoch': 1.0}
{'loss': 0.6264, 'grad_norm': 0.7700228095054626, 'learning_rate': 0.00011000000000000002, 'epoch': 1.02}
{'loss': 0.5497, 'grad_norm': 0.9034056663513184, 'learning_rate': 0.00011200000000000001, 'epoch': 1.04}
{'loss': 0.4359, 'grad_norm': 0.8201311826705933, 'learning_rate': 0.00011399999999999999, 'epoch': 1.05}
{'loss': 0.655, 'grad_norm': 0.767208993434906, 'learning_rate': 0.000116, 'epoch': 1.07}
{'loss': 0.5887, 'grad_norm': 1.3582894802093506, 'learning_rate': 0.000118, 'epoch': 1.09}
{'loss': 0.5667, 'grad_norm': 0.6229583621025085, 'learning_rate': 0.00012, 'epoch': 1.11}
{'loss': 0.5227, 'grad_norm': 0.8154946565628052, 'learning_rate': 0.000122, 'epoch': 1.13}
{'loss': 0.4679, 'grad_norm': 0.7390576004981995, 'learning_rate': 0.000124, 'epoch': 1.15}
{'loss': 0.5577, 'grad_norm': 0.559664785861969, 'learning_rate': 0.000126, 'epoch': 1.16}
{'loss': 0.5562, 'grad_norm': 0.5314774513244629, 'learning_rate': 0.00012800000000000002, 'epoch': 1.18}
